commodity,day,hour,month,region,supply,timeslice,units_prices,year
electricity,all-week,late-peak,all-year,R1,1.84800000000,4,MUS$2010/PJ,2038
gas,all-week,late-peak,all-year,R1,2.31460000000,4,MUS$2010/PJ,2038
heat,all-week,late-peak,all-year,R1,4.62000000000,4,MUS$2010/PJ,2038
CO2f,all-week,late-peak,all-year,R1,127.05460000000,4,MUS$2010/kt,2038
electricity,all-week,evening,all-year,R1,1.23200000000,5,MUS$2010/PJ,2038
gas,all-week,evening,all-year,R1,1.54310000000,5,MUS$2010/PJ,2038
heat,all-week,evening,all-year,R1,3.08000000000,5,MUS$2010/PJ,2038
CO2f,all-week,evening,all-year,R1,84.70310000000,5,MUS$2010/kt,2038
electricity,all-week,early-morning,all-year,R1,1.23200000000,6,MUS$2010/PJ,2038
gas,all-week,early-morning,all-year,R1,1.54310000000,6,MUS$2010/PJ,2038
heat,all-week,early-morning,all-year,R1,3.08000000000,6,MUS$2010/PJ,2038
CO2f,all-week,early-morning,all-year,R1,84.70310000000,6,MUS$2010/kt,2038
electricity,all-week,late-afternoon,all-year,R1,1.23200000000,7,MUS$2010/PJ,2038
gas,all-week,late-afternoon,all-year,R1,1.54310000000,7,MUS$2010/PJ,2038
heat,all-week,late-afternoon,all-year,R1,3.08000000000,7,MUS$2010/PJ,2038
CO2f,all-week,late-afternoon,all-year,R1,84.70310000000,7,MUS$2010/kt,2038
electricity,all-week,night,all-year,R1,0.65330000000,0,MUS$2010/PJ,2040
gas,all-week,night,all-year,R1,0.75540000000,0,MUS$2010/PJ,2040
heat,all-week,night,all-year,R1,1.63330000000,0,MUS$2010/PJ,2040
CO2f,all-week,night,all-year,R1,41.46300000000,0,MUS$2010/kt,2040
electricity,all-week,morning,all-year,R1,0.93330000000,1,MUS$2010/PJ,2040
gas,all-week,morning,all-year,R1,1.07910000000,1,MUS$2010/PJ,2040
heat,all-week,morning,all-year,R1,2.33330000000,1,MUS$2010/PJ,2040
CO2f,all-week,morning,all-year,R1,59.23290000000,1,MUS$2010/kt,2040
electricity,all-week,mid-afternoon,all-year,R1,0.65330000000,2,MUS$2010/PJ,2040
gas,all-week,mid-afternoon,all-year,R1,0.75540000000,2,MUS$2010/PJ,2040
heat,all-week,mid-afternoon,all-year,R1,1.63330000000,2,MUS$2010/PJ,2040
CO2f,all-week,mid-afternoon,all-year,R1,41.46300000000,2,MUS$2010/kt,2040
electricity,all-week,early-peak,all-year,R1,0.93330000000,3,MUS$2010/PJ,2040
gas,all-week,early-peak,all-year,R1,1.07910000000,3,MUS$2010/PJ,2040
